y_test,y_prob
0,0.036543411318058584
0,0.04448313916037996
0,0.043283334776423404
0,0.02261799799680255
0,0.16296085139755245
0,0.051461908919779545
0,0.09513094020776762
1,0.6797744482541309
0,0.06363855229210924
0,0.05684784052236552
0,0.014663389335574505
0,0.04480600118584455
0,0.11559586162992527
0,0.0220103483755533
0,0.21538756921642516
0,0.10129172203735332
0,0.08703732008739877
0,0.06570104796633171
1,0.37307685585955475
0,0.03200968268114765
0,0.04533101195630606
0,0.09688823515659867
0,0.05155079738829009
0,0.037460458864195884
0,0.3832047963722109
0,0.030364294657028484
0,0.37934540468438066
0,0.04505566198618708
0,0.0757721053435291
0,0.06676493054559131
0,0.430149795116068
0,0.026880103058703794
0,0.07258953029354412
0,0.10374941293034672
0,0.10635475070496687
0,0.05106142359949091
0,0.6256301109684957
0,0.0712403362571754
0,0.2326245996125687
0,0.33470489123000413
0,0.03715732307337741
0,0.16931791345224143
0,0.08986455391870915
0,0.02911115103899118
0,0.02816569382392851
0,0.0379169649505379
0,0.04259178217009056
1,0.05794964100395617
0,0.2662175934279767
0,0.06334045809814418
0,0.20725787179111713
0,0.28410599007165743
0,0.060930582031837946
0,0.07455247409184056
0,0.03628252933394544
0,0.08119524452344272
0,0.08214741448753488
0,0.03738898419629226
0,0.04804788275537485
0,0.049359313589959736
0,0.14082071955882702
0,0.053954136031864774
1,0.6367437186182814
0,0.05336600814934309
0,0.09871013587131078
0,0.1993492436708944
0,0.0508161750176075
0,0.15475936066389376
0,0.2712035071565415
0,0.08166886343918989
0,0.1504418015646017
0,0.25070679790970857
0,0.03540443591168107
0,0.1035809860977514
0,0.057922247884908844
0,0.3565610950564465
0,0.17373698709068985
0,0.10462145064354057
0,0.09172116283993349
0,0.09346381974358918
0,0.026479982440009403
1,0.03436997697089427
0,0.04226880318106683
0,0.1024476440456005
0,0.05691519592336559
0,0.04172679456430432
0,0.13519653103139465
0,0.06476438479096203
0,0.07218806242765814
0,0.062093407613406676
0,0.10870289293427728
0,0.250744817269655
1,0.6441068876691962
0,0.04434979035530851
0,0.10693564090639822
1,0.22486587768145216
1,0.49438638056635026
1,0.04974063027691753
0,0.09836578668843568
0,0.11118658080276403
0,0.08546996782506727
0,0.030441550123184308
0,0.02633808806147599
0,0.10057450138631249
0,0.046719838255303375
0,0.1104847622569619
0,0.11382815952960856
0,0.13075846742951025
0,0.03514649913986154
0,0.037998976709743885
0,0.2233089717220821
0,0.061341964693954074
0,0.028900445407377254
0,0.07174871504002912
0,0.045922010904578474
0,0.12290411720055185
0,0.062284741346264744
0,0.054150677118872614
0,0.07548529415678844
0,0.20836684708609446
0,0.10305300799442248
0,0.25385445198816653
0,0.06791596199325346
0,0.0878217613308601
0,0.027757753928858393
0,0.11799152383470074
0,0.0445540256277925
0,0.10802474095121908
0,0.051624210801953015
0,0.07898499033440118
0,0.1316602375993333
0,0.03111994421368431
0,0.08102274672838743
0,0.05312129417801528
0,0.0759606423570474
0,0.11238513900215481
0,0.040394045608595455
1,0.18859747473247598
1,0.6858544681539649
0,0.01396663154267882
1,0.4025504576588925
0,0.07440417283318843
0,0.2669138158617545
0,0.06473243763273892
0,0.18828305018490687
1,0.2854183447786525
1,0.1013625833637074
1,0.299559757029462
0,0.07205223857544739
0,0.15919000079198628
0,0.06431313498581562
0,0.12165715537018054
0,0.06711644128356559
0,0.07056990470782584
1,0.056999219070076906
0,0.27012697166980215
0,0.09584447189711867
0,0.05110294820561885
1,0.6493307777800755
0,0.06307442785215424
1,0.30728913311948874
0,0.11309791203486057
0,0.21254541078860875
0,0.19790977090810993
0,0.19475743189486672
0,0.036286160646926524
0,0.1536509129325234
0,0.056856463222741634
0,0.11648862385408158
0,0.14782641955334752
0,0.04805144353828249
0,0.07106927723511147
0,0.07403277844175346
0,0.03067773665347199
1,0.1330485229094659
0,0.2556428821536261
0,0.09877101159941606
0,0.042098557746025236
0,0.07786167994474182
0,0.06972547042160136
0,0.03827303161672027
0,0.03168700305138906
0,0.1404634319185564
0,0.05188848832186693
0,0.054435967067480086
0,0.019224213128617246
0,0.08033472189891676
1,0.6148993087690148
1,0.3716546700038752
0,0.06314242462141573
1,0.5749652352713651
0,0.03311437972768818
0,0.019656181465813025
0,0.05199057904209015
1,0.04019550208107242
0,0.046636975189384346
0,0.04395743195450569
0,0.10281469679156413
0,0.0236566090980765
0,0.023465740899215562
0,0.056623390827078485
0,0.06359145235018583
0,0.08095250863443444
0,0.03785645614283895
